0.0005	1173.5162
0.001	2346.9768
0.0015	3520.366
0.002	4693.658
0.0025	5866.832999999999
0.003	7039.8730000000005
0.0035	8212.752
0.004	9385.455
0.0045	10557.955
0.005	11730.233000000002
0.0055	12902.270999999997
0.006	14074.044999999998
0.0065	15245.542000000003
0.007	16416.719999999998
0.0075	17587.574
0.008	18758.092999999997
0.0085	19928.225000000002
0.009	21097.967000000004
0.0095	22267.319999999996
0.01	23436.212000000003
0.0105	24604.671000000002
0.011	25772.650999999998
0.0115	26940.148999999998
0.012	28107.094999999998
0.0125	29273.508999999995
0.013	30439.401000000005
0.0135	31604.660000000007
0.014	32769.35
0.0145	33933.4
0.015	35096.829999999994
0.0155	36259.58
0.016	37421.65000000001
0.0165	38582.99
0.017	39743.619999999995
0.0175	40903.48999999999
0.018	42062.62
0.0185	43220.909999999996
0.019	44378.43
0.0195	45535.090000000004
0.02	46690.899999999994
0.0205	47845.83
0.021	48999.88
0.0215	50153.0
0.022	51305.17
0.0225	52456.40000000001
0.023	53606.66
0.0235	54755.9
0.024	55904.149999999994
0.0245	57051.33
0.025	58197.439999999995
0.0255	59342.5
0.026	60486.469999999994
0.0265	61629.31
0.027	62771.020000000004
0.0275	63911.55000000001
0.028	65050.93000000001
0.0285	66189.12
0.029	67326.09
0.0295	68461.86
0.03	69596.34000000001
0.0305	70729.59000000001
0.031	71861.55
0.0315	72992.26000000001
0.032	74121.59000000001
0.0325	75249.64
0.033	76376.32
0.0335	77501.68999999999
0.034	78625.66
0.0345	79748.26
0.035	80869.47
0.0355	81989.29
0.036	83107.66
0.0365	84224.59999999998
0.037	85340.11
0.0375	86454.14
0.038	87566.73000000001
0.0385	88677.75999999998
0.039	89787.34000000001
0.0395	90895.39
0.04	92001.90999999999
0.0405	93106.87
0.041	94210.19999999998
0.0415	95311.90999999999
0.042	96411.95
0.0425	97510.26000000001
0.043	98606.73000000001
0.0435	99701.33
0.044	100793.91
0.0445	101884.31
0.045	102972.4
0.0455	104057.98999999999
0.046	105141.02
0.0465	106221.33
0.047	107299.11
0.0475	108374.37999999999
0.048	109447.39000000001
0.0485	110518.26999999999
0.049	111587.14
0.0495	112654.11
0.05	113719.31
0.0505	114782.76000000001
0.051	115844.46
0.0515	116904.66999999998
0.052	117963.13000000002
0.0525	119019.89000000001
0.053	120075.21
0.0535	121128.87999999999
0.054	122181.09999999998
0.0545	123231.5
0.055	124280.35
0.0555	125327.47
0.056	126372.69
0.0565	127416.07
0.057	128457.58
0.0575	129496.90000000001
0.058	130533.91
0.0585	131568.72000000003
0.059	132601.05000000002
0.0595	133630.77000000002
0.06	134657.78000000003
0.0605	135682.05
0.061	136703.67999999996
0.0615	137722.52
0.062	138738.49999999997
0.0625	139752.13
0.063	140763.28
0.0635	141771.41999999998
0.064	142777.61
0.0645	143781.46999999997
0.065	144782.9
0.0655	145782.31
0.066	146779.50999999998
0.0665	147774.50000000003
0.067	148767.79
0.0675	149758.63
0.068	150748.23
0.0685	151735.65
0.069	152721.50999999998
0.0695	153705.62000000002
0.07	154688.07
0.0705	155668.80000000002
0.071	156647.99999999997
0.0715	157625.59
0.072	158601.34000000003
0.0725	159575.61000000002
0.073	160548.06
0.0735	161519.00999999998
0.074	162488.17
0.0745	163455.65
0.075	164421.84
0.0755	165385.86
0.076	166348.51
0.0765	167309.31000000003
0.077	168268.62000000002
0.0775	169226.18999999997
0.078	170182.00999999998
0.0785	171135.97999999998
0.079	172088.28000000003
0.0795	173038.50999999998
0.08	173986.86000000002
0.0805	174932.91
0.081	175876.97999999998
0.0815	176818.52999999997
0.082	177757.91999999998
0.0825	178694.58
0.083	179628.56999999998
0.0835	180559.91
0.084	181488.33000000002
0.0845	182413.76000000004
0.085	183336.28999999998
0.0855	184255.28
0.086	185171.24999999997
0.0865	186084.0
0.087	186993.46000000002
0.0875	187899.11000000002
0.088	188801.48999999996
0.0885	189700.19999999998
0.089	190595.28999999998
0.0895	191486.85
0.09	192374.83000000002
0.0905	193258.98
0.091	194139.22999999998
0.0915	195015.71
0.092	195888.44999999998
0.0925	196757.22
0.093	197622.05000000002
0.0935	198483.19000000003
0.094	199339.9
0.0945	200192.80999999997
0.095	201041.26
0.0955	201885.49
0.096	202725.13999999998
0.0965	203560.11000000002
0.097	204390.46
0.0975	205215.14
0.098	206034.18999999997
0.0985	206846.98
0.099	207652.37
0.0995	208449.12999999998
0.1	209235.24
0.1005	210007.43999999997
0.101	210760.77999999997
0.1015	211485.26999999996
0.102	212162.77000000005
0.1025	212765.17
0.103	213275.93000000002
0.1035	213710.29
0.104	214075.94
0.1045	214370.91999999998
0.105	214600.52000000002
0.1055	214758.49
0.106	214869.36
0.1065	214968.85
0.107	215057.27000000002
0.1075	215123.37999999998
0.108	215164.47999999998
0.1085	215184.86000000002
0.109	215191.64999999997
0.1095	215201.40999999997
0.11	215220.47999999998
0.1105	215246.04
0.111	215278.64
0.1115	215323.59
0.112	215383.13
0.1125	215457.09000000003
0.113	215544.43
0.1135	215643.06000000006
0.114	215751.63
0.1145	215867.74000000002
0.115	215990.27000000002
0.1155	216118.60000000003
0.116	216250.92
0.1165	216385.52
0.117	216520.6
0.1175	216652.92000000004
0.118	216780.17
0.1185	216899.99999999997
0.119	217012.95
0.1195	217122.92999999996
0.12	217233.43000000002
0.1205	217344.31
0.121	217455.55
0.1215	217566.45
0.122	217678.10000000003
0.1225	217793.23
0.123	217912.18000000002
0.1235	218035.24
0.124	218161.52
0.1245	218290.09
0.125	218419.55000000002
0.1255	218548.38999999998
0.126	218674.37
